"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "XML", "JSON", "Lua", "comment", "blank", "total"
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\move.js", "JavaScript", 0, 330, 0, 0, 0, 0, 0, 38, 71, 439
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\notification.js", "JavaScript", 0, 174, 0, 0, 0, 0, 0, 52, 33, 259
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\reforms.js", "JavaScript", 0, 421, 0, 0, 0, 0, 0, 0, 0, 421
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\reqbon.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 19, 23, 315
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\settings.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 31, 13, 238
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\ads.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\copyEcoPopRes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\move.js", "JavaScript", 0, 330, 0, 0, 0, 0, 0, 38, 71, 439
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\move2.js", "JavaScript", 0, 277, 0, 0, 0, 0, 0, 33, 46, 356
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\translate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\test\translate2.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 27, 25, 154
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\translate\table.js", "JavaScript", 0, 359, 0, 0, 0, 0, 0, 0, 0, 359
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\translate\translate.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 8, 31, 302
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\translator.js", "JavaScript", 0, 395, 0, 0, 0, 0, 0, 35, 62, 492
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\js\utils.js", "JavaScript", 0, 174, 0, 0, 0, 0, 0, 18, 28, 220
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\lands.json", "JSON", 0, 0, 0, 0, 0, 6356, 0, 0, 0, 6356
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\lands_data.js", "JavaScript", 0, 706, 0, 0, 0, 0, 0, 0, 0, 706
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\metro.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\app\app.css", "PostCSS", 0, 0, 0, 139, 0, 0, 0, 0, 22, 161
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\app\app.html", "HTML", 243, 0, 0, 0, 0, 0, 0, 6, 7, 256
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\app\app.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 13, 11, 68
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\docs.html", "HTML", 1003, 0, 0, 0, 0, 0, 0, 10, 93, 1106
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\docs\docs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\download.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\download\download.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\download\download.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\hello.css", "PostCSS", 0, 0, 0, 67, 0, 0, 0, 0, 14, 81
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\hello.html", "HTML", 204, 0, 0, 0, 0, 0, 0, 13, 5, 222
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\hello.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\invite.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library.html", "HTML", 274, 0, 0, 0, 0, 0, 0, 6, 3, 283
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\authorlist.js", "JavaScript", 0, 192, 0, 0, 0, 0, 0, 0, 0, 192
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\detalis.html", "HTML", 219, 0, 0, 0, 0, 0, 0, 48, 2, 269
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\detalis.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 27, 15, 120
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\discordtext.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 62, 32, 229
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\download.css", "PostCSS", 0, 0, 0, 450, 0, 0, 0, 20, 84, 554
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\download.html", "HTML", 614, 0, 0, 0, 0, 0, 0, 168, 18, 800
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\download.js", "JavaScript", 0, 226, 0, 0, 0, 0, 0, 49, 58, 333
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\downloadlist.js", "JavaScript", 0, 362, 0, 0, 0, 0, 0, 31, 49, 442
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\maplist.js", "JavaScript", 0, 1341, 0, 0, 0, 0, 0, 10, 18, 1369
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\cardgenerator.js", "JavaScript", 0, 177, 0, 0, 0, 0, 0, 24, 24, 225
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\filters.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 18, 23, 135
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\general.css", "PostCSS", 0, 0, 0, 6, 0, 0, 0, 8, 3, 17
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\main.css", "PostCSS", 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\mobile.css", "PostCSS", 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\openPage.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 2, 25
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\modern\unique.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 11, 7, 61
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\scenariolist.js", "JavaScript", 0, 3381, 0, 0, 0, 0, 0, 126, 0, 3507
